Trade_ID,Category,Notional,Maturity,Delta,Gamma,Vega
TRD_00001,Equity,25226594.93,2024-03-03,0.0697,0.242334,0.51
TRD_00002,Commodities,3820379.24,2024-03-10,0.9835,2.047399,1.2
TRD_00003,Fixed Income,27926915.23,2024-03-17,0.4736,0.114861,0.85
TRD_00004,Derivatives,22634994.57,2024-03-24,0.0544,1.551263,-0.62
TRD_00005,Equity,44497504.96,2024-03-31,2.2758,0.169973,-0.74
TRD_00006,FX,18194835.62,2024-04-07,0.4062,1.153245,0.58
TRD_00007,Equity,6736283.8,2024-04-14,-0.4319,1.02658,-0.55
TRD_00008,FX,8006592.42,2024-04-21,1.86,0.166088,-1.23
TRD_00009,Commodities,38314020.95,2024-04-28,1.2004,-1.020383,2.37
TRD_00010,Fixed Income,31292685.1,2024-05-05,1.8161,-0.269094,-0.31
TRD_00011,Equity,5955011.13,2024-05-12,-0.1109,1.489045,-0.63
TRD_00012,Derivatives,5121233.5,2024-05-19,0.9763,0.877825,-2.19
TRD_00013,Commodities,35347487.44,2024-05-26,-1.4528,-0.43365,0.85
TRD_00014,Equity,4565387.31,2024-06-02,0.784,-0.342309,-0.99
TRD_00015,Derivatives,41271142.91,2024-06-09,-0.1577,-1.730873,0.03
TRD_00016,Equity,35605869.13,2024-06-16,-1.3551,1.444339,0.97
TRD_00017,FX,4986090.25,2024-06-23,1.0326,0.886064,-0.97
TRD_00018,Equity,5157047.99,2024-06-30,-1.8101,-0.137078,0.08
TRD_00019,Equity,49345339.35,2024-07-07,-1.9127,0.200134,1.52
TRD_00020,Equity,19339268.99,2024-07-14,0.3625,-2.170866,-2.46
TRD_00021,Commodities,19161465.21,2024-07-21,0.5713,-0.486714,-0.81
TRD_00022,Equity,40827178.8,2024-07-28,0.9705,1.334446,-0.9
TRD_00023,Derivatives,47415180.29,2024-08-04,0.742,0.981547,-0.19
TRD_00024,FX,49314052.13,2024-08-11,1.4767,0.330701,-0.05
TRD_00025,FX,37915531.08,2024-08-18,0.7002,-0.014718,-1.06
TRD_00026,Equity,19436719.69,2024-08-25,-0.1323,0.796405,-0.65
TRD_00027,Commodities,5091535.12,2024-09-01,-0.0736,-0.281385,-0.77
TRD_00028,Commodities,39080198.88,2024-09-08,-0.2822,-1.664693,-0.35
TRD_00029,Derivatives,28361808.24,2024-09-15,0.2955,-0.006199,0.22
TRD_00030,Equity,21786878.45,2024-09-22,-1.0973,0.403119,0.91
TRD_00031,FX,45411364.87,2024-09-29,0.3409,1.122678,1.06
TRD_00032,Commodities,6448676.63,2024-10-06,-0.0864,-1.441196,0.65
TRD_00033,Equity,25138630.11,2024-10-13,0.2756,-0.122911,-0.87
TRD_00034,Commodities,1556328.59,2024-10-20,0.2787,-0.075304,-0.0
TRD_00035,Commodities,23964371.46,2024-10-27,-2.4523,-1.101252,2.37
TRD_00036,FX,3758860.51,2024-11-03,-0.9013,0.487673,1.01
TRD_00037,Fixed Income,6822077.9,2024-11-10,-0.1086,0.747368,-0.44
TRD_00038,Derivatives,6758786.09,2024-11-17,-0.0555,-0.290692,1.58
TRD_00039,Derivatives,32811304.8,2024-11-24,0.2594,2.055093,-0.39
TRD_00040,FX,37556199.08,2024-12-01,0.3023,-0.31936,-0.67
TRD_00041,Commodities,29585069.49,2024-12-08,1.5162,-0.446683,1.4
TRD_00042,Equity,48146454.88,2024-12-15,0.3125,-0.475671,-1.31
TRD_00043,Commodities,19368658.4,2024-12-22,-0.313,-0.815499,-1.91
TRD_00044,FX,14999892.23,2024-12-29,-1.5991,-0.559025,0.94
TRD_00045,Derivatives,43561357.28,2025-01-05,-1.3686,-1.434089,0.03
TRD_00046,Commodities,11956196.09,2025-01-12,0.5355,-0.191533,0.13
TRD_00047,Derivatives,48197904.43,2025-01-19,1.0604,0.057474,-0.36
TRD_00048,Equity,1595569.26,2025-01-26,1.5414,-2.282802,-0.24
TRD_00049,Derivatives,48524062.51,2025-02-02,-0.8279,-0.10195,-0.46
TRD_00050,Derivatives,3114835.69,2025-02-09,-0.3039,0.042134,-0.63
